id,text,url,type
187389,"Термочувствительный чехол

http://ali.pub/3q4spr",https://sun6-14.userapi.com/c855032/v855032353/cf99b/n3Ccpf6rfGE.jpg,photo
187446,"Прозвонка проводов

http://ali.pub/3q4up4",https://sun6-13.userapi.com/c855032/v855032353/cfa9c/G2pQplOUpH4.jpg,photo
187440,"Дремель

 http://ali.pub/3q4u17",https://sun6-16.userapi.com/c855032/v855032353/cfa93/KOYrR-YxWTc.jpg,photo
187436,"Магнитный фиксатор деталей для сварки 6 шт.

 http://ali.pub/3q4tz9",https://sun6-19.userapi.com/c855032/v855032353/cfa5e/5o0YNyncsuk.jpg,photo
187431,"Пневматический пылесос

http://ali.pub/3q4tsg",https://sun6-19.userapi.com/c855032/v855032353/cfa39/jAkhD3gbt0M.jpg,photo
187427,"Wi-Fi реле для управления электроприборами

http://ali.pub/3q4tm8",https://sun9-16.userapi.com/c855032/v855032353/cfa31/lYcw2xCybMs.jpg,photo
187423,"DIY набор для обучения пайке

http://ali.pub/3q4tk3",https://sun6-19.userapi.com/c855032/v855032353/cfa20/1PpC7Hh-7rI.jpg,photo
187421,"Сантехнический ключ

http://ali.pub/3q4thd",https://sun6-19.userapi.com/c855032/v855032353/cfa17/3RxjY9o9tvQ.jpg,photo
187418,"Фен для сварки пластика

 http://ali.pub/3q4tf1",https://sun9-10.userapi.com/c855032/v855032353/cf9fd/lg97PX1pDYo.jpg,photo
187410,"Многоязычный переводчик

http://ali.pub/3q4t97",https://sun9-34.userapi.com/c855032/v855032353/cf9e2/pru3wZh29l0.jpg,photo
187401,"Уловая душевая панель

http://ali.pub/3q4t09",https://vk.com/video-137326942_456239186,video
187397,"Набор прецизионных отверток

 http://ali.pub/3q4swd",https://sun9-21.userapi.com/c855032/v855032353/cf9bd/pa9sXNVRjPQ.jpg,photo
187395,"Фреза

http://ali.pub/3q4sum",https://sun9-53.userapi.com/c855032/v855032353/cf9b5/5oL_cnXVFWw.jpg,photo
187391,"Пружинные ретриверы с карабином 6 шт.

http://ali.pub/3q4sqq",https://sun9-49.userapi.com/c855032/v855032353/cf9ad/VD2WOt8BRkk.jpg,photo
187386,"Паяльник

 http://ali.pub/3q4sm9",https://sun6-16.userapi.com/c855032/v855032353/cf982/ZApDTSs5Bfk.jpg,photo
